"","CAP1","CAP2","station","comclust","dataset"
"1",0.283344964235428,-0.173569938190825,"ERR1755878",3,"V9-micro"
"2",-0.334170155410812,-1.41519694522481,"ERR1755884",5,"V9-micro"
"3",-0.00903775681600333,0.0873434607799094,"ERR1755891",4,"V9-micro"
"4",0.369485147693699,-1.26067409947739,"ERR1755892",3,"V9-micro"
"5",-0.611896449851661,-1.5171022222412,"ERR1755901",5,"V9-micro"
"6",0.46642885960759,0.912135574404038,"ERR1755903",3,"V9-micro"
"7",-0.433217873069981,-1.6117796422425,"ERR1755904",5,"V9-micro"
"8",-0.0762156032167881,-1.36728301874784,"ERR1755916",3,"V9-micro"
"9",0.622553368424904,-0.159873195153893,"ERR1755925",3,"V9-micro"
"10",0.218312112340507,-0.388634369022517,"ERR1755927",4,"V9-micro"
"11",-0.263766113948021,-1.14086687750301,"ERR1755936",3,"V9-micro"
"12",-0.047875961127254,0.450866005681382,"ERR1755939",4,"V9-micro"
"13",0.108116392629243,-0.768155748874545,"ERR1755952",5,"V9-micro"
"14",-3.07371232397184,1.80377421998789,"ERR1755955",5,"V9-micro"
"15",-0.326040594063175,0.145433073673437,"ERR1755956",3,"V9-micro"
"16",-1.01355873851167,-2.21327735270026,"ERR1755964",5,"V9-micro"
"17",1.31886940598575,0.629475114541551,"ERR1755967",3,"V9-micro"
"18",0.308192299265228,-0.283493659941672,"ERR1755985",3,"V9-micro"
"19",-0.129457342795935,-1.36623564431937,"ERR1756000",5,"V9-micro"
"20",0.145755089704002,-1.29027764357498,"ERR1756001",5,"V9-micro"
"21",0.74499389089866,-0.497577132536258,"ERR1756012",3,"V9-micro"
"22",-0.573628194923939,0.406156397559895,"ERR1756013",3,"V9-micro"
"23",0.0658897294767112,0.554916140729315,"ERR1756014",3,"V9-micro"
"24",0.763641549307981,0.957393274796217,"ERR1756022",4,"V9-micro"
"25",0.0569069610781394,0.707967631858214,"ERR1756028",3,"V9-micro"
"26",-0.113895082514081,-2.3302727348918,"ERR1756030",5,"V9-micro"
"27",-0.57178243738022,-0.88118050379324,"ERR1756039",5,"V9-micro"
"28",0.376158084807547,-0.241246152406304,"ERR1756040",3,"V9-micro"
"29",-0.0535768266106876,-1.42892216831385,"ERR1756045",5,"V9-micro"
"30",1.34134416039504,0.441330208279485,"ERR1756047",3,"V9-micro"
"31",0.878127761545661,-0.883988749092233,"ERR1756048",3,"V9-micro"
"32",-0.0721535381589116,-2.24229305660342,"ERR1756051",5,"V9-micro"
"33",0.491835792034397,0.923359360482568,"ERR1756058",3,"V9-micro"
"34",-0.441046855711565,0.196081834976603,"ERR1756059",5,"V9-micro"
"35",0.639893872493241,1.31822732056314,"ERR1756067",5,"V9-micro"
"36",1.14366843845335,0.672753861621186,"ERR1756068",1,"V9-micro"
"37",1.40740161850804,0.919479347472286,"ERR1756070",2,"V9-micro"
"38",0.496408486703295,1.1916968234002,"ERR1756074",4,"V9-micro"
"39",0.178143387346975,-0.170002712461658,"ERR1756076",1,"V9-micro"
"40",-0.0404255161605079,-0.443131660773005,"ERR1756082",3,"V9-micro"
"41",0.805329218140657,1.04335458786296,"ERR1756087",4,"V9-micro"
"42",-0.459697589560852,-0.756394000580806,"ERR1756093",5,"V9-micro"
"43",0.653091838749168,-0.518261594729759,"ERR1756098",3,"V9-micro"
"44",-3.01772916565118,1.73950064283325,"ERR1756109",5,"V9-micro"
"45",0.191354928736414,-1.82974488778349,"ERR1756112",5,"V9-micro"
"46",1.06435027533195,0.185753798395992,"ERR1756116",3,"V9-micro"
"47",0.708162835790653,0.950882486355519,"ERR1756117",5,"V9-micro"
"48",-0.0966689646434279,1.18332253026159,"ERR1756123",2,"V9-micro"
"49",1.46033041686646,0.529657379590943,"ERR1756126",3,"V9-micro"
"50",-0.201707671741455,1.4665876300663,"ERR1756133",4,"V9-micro"
"51",-3.35594972807896,1.98194892592896,"ERR1756141",5,"V9-micro"
"52",1.3167123782927,0.970307207810253,"ERR1756143",3,"V9-micro"
"53",0.257659069658499,-1.75561794596391,"ERR1756147",5,"V9-micro"
"54",0.804549704601731,0.576031369436278,"ERR1756150",3,"V9-micro"
"55",1.13804461055238,0.345486021447527,"ERR1756156",1,"V9-micro"
"56",-0.972356352503367,-2.23079642191513,"ERR1756157",5,"V9-micro"
"57",-0.0123619504718533,1.09707805569427,"ERR1756159",3,"V9-micro"
"58",0.527934542387954,1.24772156989228,"ERR1756166",2,"V9-micro"
"59",0.806290220456523,-0.351713690714354,"ERR1756172",3,"V9-micro"
"60",0.0248344639152173,0.985631412036823,"ERR1756178",3,"V9-micro"
"61",-0.892197000899113,0.417595675143414,"ERR1756179",4,"V9-micro"
"62",0.276264503491004,1.41585215634749,"ERR1756181",5,"V9-micro"
"63",0.2531072441883,1.02085308038089,"ERR1756188",3,"V9-micro"
"64",-0.281224371950898,-0.453911792151733,"ERR1756189",4,"V9-micro"
"65",0.875599052459507,0.207769920108864,"ERR1756194",3,"V9-micro"
"66",-0.679925376120953,-1.48854577256767,"ERR1756195",4,"V9-micro"
"67",0.754405161910052,1.26750894059902,"ERR1756197",2,"V9-micro"
"68",0.0510238072811035,-0.485683614821082,"ERR1756201",5,"V9-micro"
"69",0.702174356658894,-0.444757017457692,"ERR1756213",4,"V9-micro"
"70",-0.422006922213256,-2.00986335460907,"ERR1756225",3,"V9-micro"
