"","long","lat","comclust","temperature","NO3","salinity","dataset"
"91",-76.9941,-39.5788,5,17.024275,NA,33.865392,"V9-micro"
"92",2.8662,40.6769,1,23.65825,NA,38.36215,"V9-micro"
"93",54.3236,-21.4752,3,27.25908,0.244232,34.9008,"V9-micro"
"94",-127.777,35.3915,5,13.518078,4.308643,33.269922,"V9-micro"
"95",-157.995,22.7267,1,26.31552,0,35.23154,"V9-micro"
"96",-135.018,-23.1571,4,23.790517,0,36.47365,"V9-micro"
"97",-93.9597,-31.4424,5,22.413508,0,34.9278,"V9-micro"
"98",-134.923,-23.0246,4,23.635467,0,36.509383,"V9-micro"
"99",13.9616,34.217,3,21.680142,NA,38.4238,"V9-micro"
"100",-116.716,14.1987,3,12.430182,23.099301,34.737164,"V9-micro"
"101",-51.9351,-40.6154,3,18.003386,1.285311,36.132947,"V9-micro"
"102",-70.034,39.2077,3,14.07945,5.03906,35.1468,"V9-micro"
"103",-129.631,-23.2142,3,21.477504,0.295694,35.842615,"V9-micro"
"104",-79.6437,29.7902,3,25.049571,0.417502,36.245586,"V9-micro"
"105",-49.3273,-62.14,5,0.758658,28.881967,34.351058,"V9-micro"
"106",42.2853,-17.3066,3,25.340336,0.820273,35.163979,"V9-micro"
"107",-151.188,-11.9715,4,26.791475,1.795728,35.935908,"V9-micro"
"108",-84.5899,-0.0141,4,25.504283,5.715193,34.529983,"V9-micro"
"109",7.9026,43.3346,1,13.81295,NA,38.292336,"V9-micro"
"110",-64.1522,31.7913,5,20.490883,0,36.596858,"V9-micro"
"111",-80.0621,9.8432,5,27.246567,0,34.971017,"V9-micro"
"112",-71.9719,-33.6771,5,16.760633,NA,34.392308,"V9-micro"
"113",-152.448,-6.6264,4,27.144133,4.784831,35.432567,"V9-micro"
"114",45.2248,-12.807,4,NA,NA,NA,"V9-micro"
"115",-49.2382,-62.2024,5,-0.783906,30.42205,34.400828,"V9-micro"
"116",40.0193,-22.3369,3,25.080167,0,35.324825,"V9-micro"
"117",-135.018,-23.0731,3,24.227692,0,36.462367,"V9-micro"
"118",-71.9719,-33.6771,5,16.760633,NA,34.392308,"V9-micro"
"119",-152.454,11.2521,1,27.53096,0,34.48717,"V9-micro"
"120",42.2073,-17.5263,4,26.340117,NA,NA,"V9-micro"
"121",-121.852,32.9909,5,15.190325,1.67453,33.466508,"V9-micro"
"122",-64.1522,31.7913,5,20.490883,0,36.596858,"V9-micro"
"123",14.3033,36.253,1,NA,NA,NA,"V9-micro"
"124",3.9718,38.0017,1,23.87265,NA,37.5808,"V9-micro"
"125",-152.448,-6.6264,4,27.144133,4.784831,35.432567,"V9-micro"
"126",7.8988,43.3529,3,22.8039,NA,38.143467,"V9-micro"
