"","long","lat","comclust","temperature","NO3","salinity","dataset"
"1",131.129,81.9255,2,-1.5,NA,30.6,"V4-total"
"2",75.9815,83.919,1,-1.5,NA,33.2,"V4-total"
"3",31.1138,84.0505,2,-1.5,NA,33,"V4-total"
"4",109.59,82.6707,2,-1.6,NA,32.8,"V4-total"
"5",130.13,82.8825,2,-1.5,NA,31.2,"V4-total"
"6",58.8635,88.8277,2,-1.7,NA,32.9,"V4-total"
"7",61.2173,87.9335,2,0.1,NA,31,"V4-total"
"8",61.2173,87.9335,2,-1.8,NA,33.1,"V4-total"
"9",14.25,40.8083,1,13.817,2.91,37.511,"V4-total"
"10",14.25,40.8083,1,16.575,1.04,37.348,"V4-total"
"11",14.25,40.8083,1,23.154,0.01,36.761,"V4-total"
"12",14.25,40.8083,1,25.302,0.26,37.113,"V4-total"
"13",14.25,40.8083,2,26.891,0,37.68,"V4-total"
"14",14.25,40.8083,2,24.304,0.52,37.516,"V4-total"
"15",14.25,40.8083,2,19.619,0.71,37.858,"V4-total"
"16",14.25,40.8083,4,17.112,0.54,37.938,"V4-total"
"17",63.0062,-56.4985,2,3.3,NA,33.90284,"V4-total"
"18",53.4993,-34.9997,4,20.48,NA,35.46549,"V4-total"
"19",72.367,-48.7997,1,4.7,NA,33.86006,"V4-total"
"20",52.1023,-45.0002,1,6.3,NA,33.75287,"V4-total"
"21",52.0025,-55.0038,1,3.08,NA,33.94639,"V4-total"
"22",76.4068,-39.9993,2,15.44,NA,35.05728,"V4-total"
"23",54.0998,-30.0005,4,25.78,NA,35.55222,"V4-total"
"24",74.884,-42.4992,1,11.59,NA,34.39721,"V4-total"
"25",64.9992,-48.5015,1,5.84,NA,33.73584,"V4-total"
"26",73.4663,-35.0005,3,23.78,NA,35.3789,"V4-total"
"27",68.4212,-50.6672,1,4.6301,NA,33.848598,"V4-total"
"28",65.832,-27.9998,4,27.38,NA,35.85502,"V4-total"
"29",-16.9377,54.5305,2,11.09541,4.348292,35.325105,"V4-total"
"30",-16.9377,54.5305,2,11.09541,4.348292,35.325105,"V4-total"
"31",0.2355,67.141,2,8.48667,5.21995,35.14372,"V4-total"
"32",0.2355,67.141,2,8.48667,5.21995,35.14372,"V4-total"
"33",1.3918,76.1825,2,1.901825,4.72754,34.888288,"V4-total"
"34",1.3918,76.1825,2,1.901825,4.72754,34.888288,"V4-total"
"35",44.0775,72.5128,2,7.53177,0,34.92306,"V4-total"
"36",44.0775,72.5128,2,7.53177,0,34.92306,"V4-total"
