"","CAP1","CAP2","station","comclust","dataset"
"1",-0.496133142728734,-1.3137170036328,"ERR1759714",5,"V9-total"
"2",-0.55164356448146,-0.890945257006594,"ERR1879660",1,"V9-total"
"3",-0.00748732714693822,-2.16628864693572,"ERR1879664",2,"V9-total"
"4",0.0452653387377727,-0.955351768109932,"ERR1879670",1,"V9-total"
"5",0.210213998249189,-0.707481960197872,"ERR1879671",1,"V9-total"
"6",-0.167719989816684,-0.695705262332814,"ERR1879673",4,"V9-total"
"7",-0.719828406517739,0.830827679017967,"ERR1879674",5,"V9-total"
"8",-0.598937673198004,0.326410231276818,"ERR1879681",5,"V9-total"
"9",-0.817489327849395,0.700441891997844,"ERR1879688",5,"V9-total"
"10",-0.360198577227593,1.47976857352923,"ERR1879689",3,"V9-total"
"11",-0.334022475103339,0.964129052309691,"ERR1879690",4,"V9-total"
"12",-0.622374877195659,0.748623941779094,"ERR1879691",4,"V9-total"
"13",-0.840532612871188,0.373985872099904,"ERR1879703",4,"V9-total"
"14",-0.339154956350012,1.40301990338818,"ERR1879704",3,"V9-total"
"15",0.33475913247497,1.0439380010317,"ERR1879710",3,"V9-total"
"16",-0.511336779781544,0.978390016332055,"ERR1879714",3,"V9-total"
"17",-0.729940570325464,0.473833467431602,"ERR1879715",4,"V9-total"
"18",-0.927741260014508,0.387991729457533,"ERR1879718",5,"V9-total"
"19",-0.494448528302768,1.04088560400189,"ERR1879721",5,"V9-total"
"20",-0.206779595529433,0.573952081722302,"ERR1879726",4,"V9-total"
"21",-0.130524841511099,1.35153420865214,"ERR1879729",3,"V9-total"
"22",0.0361505428019358,-1.82342939480383,"ERR1879734",1,"V9-total"
"23",-0.467214897553946,1.09037156457728,"ERR1879735",5,"V9-total"
"24",0.0731710269454174,-0.55180340555016,"ERR1879740",1,"V9-total"
"25",3.15792042088166,0.538056581806979,"ERR1879744",3,"V9-total"
"26",-0.699917454882824,0.596265183122219,"ERR1879751",5,"V9-total"
"27",-0.791832141554987,1.15061540543022,"ERR1879752",5,"V9-total"
"28",0.347520894613299,-0.458319609385485,"ERR1879757",1,"V9-total"
"29",0.237870567564501,-0.728727823642903,"ERR1879758",1,"V9-total"
"30",0.224858323840931,-1.69823368523921,"ERR1879759",1,"V9-total"
"31",-0.0108537932909305,1.37765021288198,"ERR1879764",3,"V9-total"
"32",3.12099040388884,0.473169561957747,"ERR1879770",3,"V9-total"
"33",-0.479044594286083,0.971474850848013,"ERR1879771",3,"V9-total"
"34",0.657193711658536,-0.259855936315054,"ERR1879772",1,"V9-total"
"35",0.163677883220038,0.00652790448253176,"ERR1879773",1,"V9-total"
