"","long","lat","comclust","temperature","NO3","salinity","dataset"
"110",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"111",-37.3032,35.9346,1,17.583075,0,36.3123,"V9-total"
"112",-53.0063,-64.3595,3,-0.56135,11.992437,33.167617,"V9-total"
"113",-88.394,25.5264,1,24.96555,0,36.193733,"V9-total"
"114",-65.1342,-54.3739,3,7.3549,11.003731,32.945667,"V9-total"
"115",-16.8794,43.7056,1,NA,NA,NA,"V9-total"
"116",-16.8344,43.6792,1,14.28065,2.999226,35.986042,"V9-total"
"117",-96.0122,-12.9723,5,20.649431,1.501977,35.544655,"V9-total"
"118",38.1983,22.1233,5,27.13995,0.04326,38.98795,"V9-total"
"119",-49.529,-62.0385,3,0.67108,27.501159,34.35388,"V9-total"
"120",-60.6476,-60.2287,3,1.84402,24.423039,33.71972,"V9-total"
"121",-17.9099,-8.7789,4,25.02619,0.263475,36.42324,"V9-total"
"122",-57.9446,-47.2007,3,6.975635,17.111823,34.057594,"V9-total"
"123",-142.557,-8.9111,5,26.780158,4.985942,35.427733,"V9-total"
"124",-140.283,-8.9068,5,26.576175,3.868407,35.359483,"V9-total"
"125",-95.9759,-13.0023,5,25.2512,4.590737,35.835267,"V9-total"
"126",-100.633,-16.9601,5,22.76873,2.568726,35.97144,"V9-total"
"127",-49.2139,-62.2231,3,-0.78154,33.109231,34.319478,"V9-total"
"128",-85.2732,-5.2669,5,19.566255,20.328327,34.900284,"V9-total"
"129",-84.5766,1.9928,2,27.617558,1.210114,33.3676,"V9-total"
"130",-35.1803,-20.9354,4,23.349542,0.030608,37.101367,"V9-total"
"131",-140.522,-9.1504,5,26.518986,5.111856,35.396729,"V9-total"
"132",-58.2902,-47.1863,3,7.321517,17.091069,34.048642,"V9-total"
"133",-100.675,-16.9587,2,19.881449,1.411516,35.687249,"V9-total"
"134",-3.1759,-20.4091,1,19.776808,0.168013,36.376225,"V9-total"
"135",-35.3498,-21.0292,2,21.643283,0.580918,36.724683,"V9-total"
"136",-139.196,-8.9971,5,26.54413,3.986359,35.3662,"V9-total"
"137",-142.546,-8.8999,2,23.706525,3.67243,36.272675,"V9-total"
"138",-85.1545,-5.2529,5,24.943108,11.688971,34.748175,"V9-total"
"139",-84.5546,2.0299,5,26.532035,3.886605,34.344808,"V9-total"
"140",2.7996,41.6686,3,NA,NA,NA,"V9-total"
"141",4.665,-31.0266,1,16.832058,NA,35.68685,"V9-total"
"142",17.7103,-32.2401,3,12.83445,0.405607,34.845292,"V9-total"
"143",-140.597,-9.0714,5,25.221787,4.458677,35.797875,"V9-total"
"144",-17.9604,-8.7296,1,24.112672,0.241265,36.603343,"V9-total"
"145",-139.139,-9.0063,2,24.69625,2.333576,36.097575,"V9-total"
"146",-43.2705,-30.1484,1,19.30925,0.478929,36.27495,"V9-total"
"147",4.6802,-31.027,1,16.787411,NA,35.687803,"V9-total"
"148",-140.285,-8.9109,2,22.1151,5.023264,35.88072,"V9-total"
"149",-43.2899,-30.1367,4,19.854083,0,36.32425,"V9-total"
"150",38.1983,22.1233,1,26.69135,2.517913,39.031,"V9-total"
